country_code	admin_level	area_type	remarks
PW	2	country
PW	8	state
PY	10	suburb
PY	2	country
PY	3	region
PY	4	state
PY	8	city
QA	10	district
QA	2	country
QA	4	city
RE	10	suburb
RE	6	country
RE	7	state
RE	8	city
RE	9	district
RO	2	country
RO	3	region
RO	4	state
RO	5	district
RO	6	city
RS	2	country
RS	4	state
RS	6	province
RS	7	province
RS	8	city
RU	10	suburb
RU	2	country
RU	3	region
RU	4	state
RU	5	province
RU	6	province
RU	8	city
RU	9	district
RW	2	country
RW	4	state
RW	6	province
RW	8	province
SA	2	country
SA	4	state
SB	2	country
SC	2	country
SD	10	suburb
SD	2	country
SD	4	state
SD	8	province
SD	9	city
SE	2	country
SE	3	region
SE	4	state
SE	7	city
SE	8	district
SE	9	suburb
SG	2	country
SG	6	state
SH	2	country
SI	10	suburb
SI	2	country
SI	3	region
SI	4	state
SI	5	state
SI	7	province
SI	8	city
SJ	4	country
SK	10	city
SK	2	country
SK	3	region
SK	4	state
SK	6	city
SK	8	province
SK	9	city
SL	2	country
SL	4	state
SL	5	province
SL	7	suburb
SM	2	country
SM	8	city
SN	10	suburb
SN	2	country
SN	3	state
SN	6	province
SN	7	province
SN	8	city
SN	9	district
SO	2	country
SO	4	state
SO	6	province
SO	9	district
SR	2	country
SR	4	state
SS	2	country
SS	4	state
SS	5	province
ST	2	country
SV	2	country
SV	4	state
SV	5	city
SX	3	country
SY	2	country
SY	4	state
SZ	2	country
SZ	4	state
SZ	6	province
TC	2	country
TC	6	state
TD	2	country
TD	4	state
TF	3	country
TG	2	country
TG	4	state
TG	6	province
TG	8	city
TH	10	city
TH	2	country
TH	4	state
TH	6	province
TH	8	district
TJ	2	country
TJ	4	state
TJ	6	province
TJ	8	city
TK	2	country
TL	2	country
TL	4	state
TM	2	country
TM	4	state
TM	8	city
TN	2	country
TN	4	state
TN	5	city
TN	6	district
TO	2	country
TR	10	suburb
TR	2	country
TR	3	region
TR	4	state
TR	6	province
TR	8	city
TT	2	country
TV	2	country
TW	2	country
TW	4	city
TW	5	district
TW	6	province
TW	7	district
TW	8	city
TW	9	suburb
TZ	2	country
TZ	4	state
TZ	5	province
TZ	7	province
TZ	9	city
UA	2	country
UA	4	state
UA	6	province
UA	7	district
UA	8	district
UA	9	city
UG	10	district
UG	2	country
UG	4	state
UG	6	province
UG	8	province
UG	9	city
UM	4	country
US	10	suburb
US	2	country
US	4	state
US	5	city
US	6	province
US	7	city
US	8	city
US	9	district
UY	2	country
UY	4	state
UY	6	province
UY	7	province
UY	8	city
UZ	2	country
UZ	4	state
UZ	6	province
UZ	8	city
VA	2	country
VC	2	country
VC	6	state
VE	2	country
VE	3	region
VE	4	state
VE	6	province
VE	7	province
VE	8	city
VE	9	suburb
VG	2	country
VI	4	country
VI	6	province
VI	8	city
VN	10	district
VN	2	country
VN	4	state
VN	6	province
VN	8	district
VU	2	country
WF	3	country
WS	2	country
YE	2	country
YE	4	state
YT	3	country
YT	8	city
ZA	10	district
ZA	2	country
ZA	4	state
ZA	6	province
ZA	8	city
ZM	2	country
ZM	4	state
ZW	2	country
ZW	4	state
ZW	6	province
ZW	8	city
